route_id,trip_id,shape_id,trip_headsign,arrival_time,stop_id,stop_sequence,direction_id,timedifference,stop_name,stop_lat,stop_lon,distanceinmiles,speed
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:32:00,903147,1,0,,ASTOR PL/3 AV,40.729567,-73.990052,,
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:32:23,405155,2,0,0.0063888888888889,3 AV/E 9 ST,40.730389,-73.989235,0.05890860324177035,9.220477029146648
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:32:55,403526,3,0,0.0088888888888889,3 AV/E 11 ST,40.73168,-73.988278,0.09107355424397905,10.245774852447632
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:33:44,403913,4,0,0.013611111111111,3 AV/E 14 ST,40.733689,-73.986787,0.14173197866556833,10.412961697878576
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:34:29,402670,5,0,0.0125000000000001,3 AV/E 17 ST,40.735511,-73.985465,0.12842552979276342,10.274042383420992
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:35:16,405061,6,0,0.0130555555555553,3 AV/E 21 ST,40.737436,-73.984124,0.13548141510348694,10.377299880267287
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:36:00,403855,7,0,0.0122222222222223,3 AV/E 23 ST,40.739218,-73.982771,0.12583657645734428,10.295719891964467
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:36:37,402673,8,0,0.0102777777777776,3 AV/E 26 ST,40.741067,-73.981419,0.13036900212335473,12.684551557948248
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:37:14,402674,9,0,0.010277777777778,3 AV/E 29 ST,40.742894,-73.980105,0.1287362195305945,12.525686224598113
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:37:31,402634,10,0,0.004722222222222,3 AV/E 31 ST,40.743707,-73.979544,0.0572003251164977,12.11301002467067
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:38:01,403427,11,0,0.0083333333333333,3 AV/E 33 ST,40.745188,-73.978434,0.10452631152576546,12.543157383091904
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:38:57,402677,12,0,0.0155555555555553,3 AV/E 37 ST,40.747988,-73.97637,0.19748714620192065,12.695602255837965
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:39:21,402678,13,0,0.0066666666666668,3 AV/E 39 ST,40.749176,-73.975519,0.0836984853400603,12.554772801008795
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:40:00,402679,14,0,0.0108333333333332,3 AV/E 42 ST,40.751085,-73.974122,0.13460606049640553,12.425174815052971
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:40:25,402680,15,0,0.0069444444444446,3 AV/E 45 ST,40.752407,-73.973161,0.09319195325395928,13.419641268569835
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:40:59,402681,16,0,0.0094444444444445,3 AV/E 47 ST,40.754234,-73.97185,0.128727530963364,13.629973866709049
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:41:23,402682,17,0,0.0066666666666663,3 AV/E 50 ST,40.755505,-73.970922,0.08961260792613909,13.441891188921602
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:42:05,405488,18,0,0.0116666666666667,3 AV/E 53 ST,40.757751,-73.969235,0.15853624093822913,13.588820651848172
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:42:50,405480,19,0,0.0125000000000001,3 AV/E 57 ST,40.76014,-73.967523,0.1683183235133035,13.465465881064173
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:43:35,403545,20,0,0.0124999999999997,3 AV/E 60 ST,40.762558,-73.965738,0.17055856162845745,13.644684930276922
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:44:05,450051,21,0,0.0083333333333333,3 AV/E 63 ST,40.764143,-73.964582,0.11174825445501559,13.409790534601923
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:44:32,402687,22,0,0.0075000000000002,3 AV/E 65 ST,40.765599,-73.963509,0.10269556446553324,13.6927419287374
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:45:00,402688,23,0,0.0077777777777776,3 AV/E 67 ST,40.767113,-73.962513,0.10635421306735442,13.674113108660167
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:45:20,402689,24,0,0.0055555555555555,3 AV/E 69 ST,40.768112,-73.961718,0.07069496792921888,12.725094227259525
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:45:58,403432,25,0,0.0105555555555554,3 AV/E 72 ST,40.770075,-73.960281,0.13842005834244667,13.113479211389878
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:46:32,402691,26,0,0.0094444444444445,3 AV/E 75 ST,40.771857,-73.959001,0.12556540598299415,13.29516063349342
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:46:58,402692,27,0,0.007222222222222,3 AV/E 77 ST,40.773208,-73.95799,0.09534996146396367,13.202302356549222
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:47:25,403433,28,0,0.0075000000000002,3 AV/E 79 ST,40.774605,-73.95697,0.09849957560298767,13.133276747064672
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:48:03,402694,29,0,0.0105555555555554,3 AV/E 82 ST,40.776582,-73.955559,0.13927318947635825,13.194302160918344
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:48:39,403434,30,0,0.0100000000000002,3 AV/E 86 ST,40.778466,-73.954179,0.1328545030548376,13.285450305483494
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:49:18,402696,31,0,0.0108333333333332,3 AV/E 88 ST,40.780478,-73.952701,0.14189730058852493,13.098212362017847
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:49:53,402697,32,0,0.0097222222222219,3 AV/E 91 ST,40.782258,-73.951426,0.1254134242183087,12.899666491026466
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:50:17,403765,33,0,0.0066666666666668,3 AV/E 93 ST,40.783505,-73.950493,0.08801090089712603,13.20163513456864
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:51:00,403777,34,0,0.0119444444444445,3 AV/E 97 ST,40.785746,-73.948862,0.15799143131520785,13.227189598482456
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:52:00,401946,35,0,0.0166666666666666,3 AV/E 99 ST,40.787906,-73.947273,0.1523457216707599,9.140743300245632
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:52:31,401947,36,0,0.0086111111111111,3 AV/E 102 ST,40.789273,-73.946287,0.09634130033940246,11.188021974898364
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:52:59,401948,37,0,0.0077777777777776,3 AV/E 104 ST,40.79054,-73.945358,0.08935086914448728,11.48796889000577
M101,OH_H3-Weekday-015200_M101_2,M1010009,FT GEORGE 193 ST via 3 AV via AMSTERDAM,02:53:29,403436,38,0,0.0083333333333333,3 AV/E 106 ST,40.79189,-73.944367,0.0952087218889654,11.425046626675893
