route_id,trip_id,shape_id,trip_headsign,arrival_time,stop_id,stop_sequence,direction_id,timedifference,stop_name,stop_lat,stop_lon,distanceinmiles,speed
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:10:00,400448,1,1,,ST NICHOLAS AV/W 192 ST,40.856143,-73.928818,,
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:11:42,404008,2,1,0.0283333333333333,AMSTERDAM AV/W 190 ST,40.853438,-73.927069,0.189927801644912,6.703334175702784
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:12:15,402764,3,1,0.0091666666666672,AMSTERDAM AV/W 188 ST,40.852241,-73.927959,0.08446529749487283,9.214396090349227
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:13:01,405186,4,1,0.0127777777777771,AMSTERDAM AV/W 185 ST,40.850616,-73.929187,0.11474332267319502,8.979912209207043
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:13:30,402766,5,1,0.0080555555555559,AMSTERDAM AV/W 184 ST,40.849558,-73.929899,0.07438173628986004,9.233594849775335
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:14:07,402767,6,1,0.0102777777777776,AMSTERDAM AV/W 181 ST,40.848228,-73.930845,0.0936877104050925,9.115561012387536
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:15:12,402769,7,1,0.0180555555555557,AMSTERDAM AV/W 178 ST,40.845883,-73.932601,0.16551934116714231,9.16722504925704
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:16:09,405069,8,1,0.0158333333333331,AMSTERDAM AV/W 175 ST,40.84381,-73.934076,0.14602697601601133,9.222756379958748
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:16:59,402772,9,1,0.0138888888888892,AMSTERDAM AV/W 172 ST,40.842043,-73.935378,0.12463932830540227,8.974031637988762
M101,OH_H3-Weekday-025000_M101_2,M1010016,EAST VILLAGE 3 AV-6 ST via LEX AV,04:17:37,402773,10,1,0.0105555555555554,AMSTERDAM AV/W 170 ST,40.840658,-73.936399,0.09769563293953305,9.255375752166426
