route_id,trip_id,shape_id,trip_headsign,arrival_time,stop_id,stop_sequence,direction_id,timedifference,stop_name,stop_lat,stop_lon,distanceinmiles,speed,dist_from_start
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:32:00,401732,1,1,,E 126 ST/2 AV,40.80323,-73.932451,,,
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:32:48,401738,2,1,0.0133333333333318,2 AV/E 125 ST,40.802473,-73.933855,0.0588101564900436,4.410761736753781,0.0588101564900436
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:33:51,401739,3,1,0.0174999999999982,2 AV/E 122 ST,40.800564,-73.935233,0.1345473333738641,7.688419049935884,0.1933574898639077
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:34:55,401740,4,1,0.0177777777777805,2 AV/E 119 ST,40.798669,-73.93661,0.1335943983817993,7.51468490897506,0.326951888245707
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:36:00,401741,5,1,0.0180555555555557,2 AV/E 116 ST,40.796723,-73.93804,0.137249774823874,7.601525990245273,0.464201663069581
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:37:12,401742,6,1,0.0199999999999995,2 AV/E 113 ST,40.794823,-73.939429,0.1339776271881222,6.69888135940628,0.5981792902577032
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:37:58,803228,7,1,0.0127777777777779,2 AV/E 111 ST,40.793625,-73.940328,0.0845652362330756,6.618148922588464,0.6827445264907788
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:39:12,401744,8,1,0.0205555555555534,2 AV/E 108 ST,40.791673,-73.941736,0.1375720312047079,6.692693409959468,0.8203165576954867
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:40:04,401745,9,1,0.0144444444444467,2 AV/E 106 ST,40.790331,-73.942715,0.0946218809657006,6.550745605316712,0.9149384386611873
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:41:11,401746,10,1,0.0186111111111095,2 AV/103 ST,40.788563,-73.944015,0.1246968227035125,6.700127787054984,1.0396352613646997
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:41:57,401747,11,1,0.0127777777777779,2 AV/E 101 ST,40.787352,-73.944893,0.0853643834656676,6.680690879921755,1.1249996448303674
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:43:24,401748,12,1,0.024166666666666,2 AV/E 97 ST,40.785065,-73.946555,0.1612266136086728,6.671446080359062,1.2862262584390403
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:44:00,401749,13,1,0.0100000000000015,2 AV/E 96 ST,40.784123,-73.947258,0.0664782859872677,6.647828598725781,1.352704544426308
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:45:02,403342,14,1,0.0172222222222195,2 AV/E 94 ST,40.782675,-73.948302,0.1020480698780277,5.925371799370289,1.4547526143043357
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:45:52,405233,15,1,0.0138888888888892,2 AV/E 92 ST,40.78151,-73.949159,0.0821677011870365,5.916074485466501,1.5369203154913722
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:47:11,405307,16,1,0.0219444444444469,2 AV/E 89 ST,40.779657,-73.950523,0.1306955373994259,5.955746008074439,1.667615852890798
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:48:05,401753,17,1,0.014999999999997,2 AV/E 87 ST,40.778415,-73.951437,0.0875994129374962,5.839960862500916,1.7552152658282942
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:49:35,401754,18,1,0.0250000000000021,2 AV/E 84 ST,40.776302,-73.952953,0.1488847450353505,5.955389801413522,1.9041000108636448
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:50:29,401755,19,1,0.0150000000000005,2 AV/E 82 ST,40.775053,-73.95387,0.0880844291475372,5.872295276502287,1.992184440011182
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:52:00,401756,20,1,0.0252777777777772,2 AV/E 78 ST,40.772922,-73.955434,0.1502840150818048,5.945301695544062,2.142468455092987
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:53:31,401758,21,1,0.0252777777777772,2 AV/E 75 ST,40.770821,-73.95695,0.148069925096333,5.857711322492428,2.2905383801893198
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:55:02,401759,22,1,0.0252777777777772,2 AV/E 72 ST,40.768727,-73.958485,0.1476665877775785,5.8417551208713725,2.4382049679668985
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:56:02,401760,23,1,0.0166666666666657,2 AV/E 70 ST,40.76733,-73.959501,0.0984841419888686,5.909048519332464,2.536689109955767
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:57:00,401761,24,1,0.0161111111111118,2 AV/E 68 ST,40.76599,-73.960476,0.0944673087656326,5.863488130280394,2.6311564187213996
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:57:56,401762,25,1,0.0155555555555579,2 AV/E 66 ST,40.764664,-73.961439,0.093473304336364,6.008998135908213,2.7246297230577636
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,21:58:46,401763,26,1,0.0138888888888857,2 AV/E 64 ST,40.763471,-73.962314,0.0841300184528249,6.057361328604784,2.8087597415105887
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:00:09,401764,27,1,0.0230555555555582,2 AV/E 61 ST,40.761523,-73.963754,0.1374148351863256,5.9601615261532,2.9461745766969143
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:01:56,401765,28,1,0.0297222222222224,2 AV/E 57 ST,40.758987,-73.965601,0.1787876146846702,6.015284232381393,3.1249621913815844
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:03:13,403887,29,1,0.021388888888886,2 AV/E 54 ST,40.757149,-73.966937,0.1295683116221236,6.057739244671533,3.254530503003708
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:05:00,401768,30,1,0.0297222222222224,2 AV/E 50 ST,40.754623,-73.968787,0.1781200864709596,5.992825339209819,3.4326505894746675
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:06:24,401769,31,1,0.0233333333333334,2 AV/E 46 ST,40.752481,-73.970371,0.1510997398559571,6.475703136683859,3.5837503293306248
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:08:20,401771,32,1,0.0322222222222237,2 AV/E 42 ST,40.749502,-73.972517,0.2099272048981326,6.514982220976231,3.7936775342287574
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:09:32,401772,33,1,0.0199999999999995,2 AV/E 39 ST,40.747638,-73.97388,0.1314295215539019,6.571476077695259,3.9251070557826595
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:10:29,404909,34,1,0.0158333333333331,2 AV/E 36 ST,40.746181,-73.974949,0.1027455421498234,6.48919213577842,4.027852597932483
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:12:00,903266,35,1,0.0252777777777772,2 AV/E 33 ST,40.743851,-73.976632,0.1642080181096322,6.496141375765819,4.192060616042116
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:12:51,401775,36,1,0.0141666666666679,2 AV/E 31 ST,40.742638,-73.977523,0.0855423425232628,6.038283001641558,4.277602958565378
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:13:56,405336,37,1,0.0180555555555557,2 AV/E 28 ST,40.741114,-73.978641,0.1074687442703691,5.952115067281934,4.385071702835747
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:15:28,401778,38,1,0.0255555555555559,2 AV/E 25 ST,40.738933,-73.980226,0.1537418600072083,6.015985826368941,4.538813562842956
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:16:27,401779,39,1,0.016388888888887,2 AV/E 23 ST,40.737516,-73.981202,0.0996894736435714,6.082747544354213,4.638503036486527
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:17:42,401780,40,1,0.0208333333333357,2 AV/E 20 ST,40.735746,-73.982489,0.1247717398126754,5.989043511007741,4.763274776299202
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:18:56,401781,41,1,0.0205555555555534,2 AV/E 17 ST,40.733996,-73.983769,0.1233898910808857,6.002751457989665,4.886664667380088
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:20:00,401782,42,1,0.017777777777777,2 AV/E 14 ST,40.732494,-73.984903,0.1060390505423705,5.964696593008603,4.992703717922458
M15,OH_A3-Weekday-SDon-129200_M15_243,M150007,SOUTH FERRY via 2 AV,22:21:43,404105,43,1,0.0286111111111111,2 AV/E 12 ST,40.730796,-73.986156,0.1197645586424546,4.185945738959582,5.112468276564913
