service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_A3-Sunday,0,0,0,0,0,0,1,20230108,20230326
MQ_A3-Weekday-SDon,1,1,1,1,1,0,0,20230109,20230331
MQ_A3-Saturday,0,0,0,0,0,1,0,20230114,20230401
MQ_H3-Weekday,1,1,1,1,1,0,0,20230116,20230116
MV_A3-Sunday,0,0,0,0,0,0,1,20230108,20230326
MV_A3-Weekday-SDon,1,1,1,1,1,0,0,20230109,20230331
MV_A3-Saturday,0,0,0,0,0,1,0,20230114,20230401
MV_A3-Saturday-BM,0,0,0,0,1,0,0,20230113,20230331
MV_H3-Weekday,1,1,1,1,1,0,0,20230116,20230116
OF_A3-Sunday,0,0,0,0,0,0,1,20230108,20230326
OF_A3-Weekday-SDon,1,1,1,1,1,0,0,20230109,20230331
OF_A3-Saturday,0,0,0,0,0,1,0,20230114,20230401
OF_H3-Weekday,1,1,1,1,1,0,0,20230116,20230116
OH_A3-Sunday,0,0,0,0,0,0,1,20230108,20230326
OH_A3-Sunday-BM,0,0,0,0,0,1,0,20230107,20230325
OH_A3-Weekday-SDon,1,1,1,1,1,0,0,20230109,20230331
OH_A3-Weekday-SDon-BM,1,1,1,1,0,0,1,20230108,20230330
OH_A3-Saturday,0,0,0,0,0,1,0,20230114,20230401
OH_A3-Saturday-BM,0,0,0,0,1,0,0,20230113,20230331
OH_H3-Weekday,1,1,1,1,1,0,0,20230116,20230116
OH_H3-Weekday-BM,1,1,1,1,0,0,1,20230115,20230115
