route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
M9,MQ_H3-Weekday,MQ_H3-Weekday-036000_M9_51,BATTERY PK CITY via AVENUE C via PK ROW,1,32983605,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-041000_M9_51,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983605,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-046200_M9_51,BATTERY PK CITY via AVENUE C via PK ROW,1,32983605,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-053000_M9_51,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983605,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-059200_M9_51,BATTERY PK CITY via AVENUE C via PK ROW,1,32983605,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-066000_M8_1,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983747,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-072700_M8_1,BATTERY PK CITY via AVENUE C via PK ROW,1,32983747,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-079200_M21_202,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983748,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-087700_M9_63,BATTERY PK CITY via AVENUE C via PK ROW,1,32983775,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-094200_M9_63,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983775,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-106800_M9_66,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983789,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-038000_M9_52,BATTERY PK CITY via AVENUE C via PK ROW,1,32983606,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-043400_M9_52,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983606,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-049200_M9_60,BATTERY PK CITY via AVENUE C via PK ROW,1,32983614,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-056000_M9_60,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983614,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-075700_M8_3,BATTERY PK CITY via AVENUE C via PK ROW,1,32983752,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-082200_M8_3,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983752,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-089200_M8_3,BATTERY PK CITY via AVENUE C via PK ROW,1,32983752,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-095700_M9_65,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983753,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-102700_M9_65,BATTERY PK CITY via AVENUE C via PK ROW,1,32983753,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-109200_M9_65,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983753,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-039500_M9_53,BATTERY PK CITY via AVENUE C via PK ROW,1,32983607,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-044900_M9_53,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983607,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-051200_M9_61,BATTERY PK CITY via AVENUE C via PK ROW,1,32983615,M090004
M9,MQ_H3-Weekday,MQ_H3-Weekday-058000_M9_61,KIPS BAY 1 AV - 26 ST via AVENUE C,0,32983615,M090011
M9,MQ_H3-Weekday,MQ_H3-Weekday-063700_M9_61,BATTERY PK CITY via AVENUE C via PK ROW,1,32983615,M090004
